ID_материала,URL,Заголовок,Раздел_корпуса,Номер_объекта,Тип_текста,Концепт,Фрейм,Метафора,Субъектная_роль,Ценностная_оппозиция,Модель_действия
M275,https://www.kommersant.ru/doc/8210052,Экономика России сбавляет ход - Kommersant,Средний (аналитический),5,Аналитическая статья,Мужество,Потеря смыслов,Плоды,Проводник,Свобода–Безопасность,
M275,https://www.kommersant.ru/doc/8210052,Экономика России сбавляет ход - Kommersant,Средний (аналитический),6,Аналитическая статья,Долг,Экономический рост,Запруда,Устроитель,Справедливость–Законность,
M275,https://www.kommersant.ru/doc/8210052,Экономика России сбавляет ход - Kommersant,Средний (аналитический),7,Интервью-аналитика,Стабильность,Финансовые связи,Прививка,Творец,Стабильность–Перемены,
M276,https://www.kommersant.ru/doc/8399693,Путин назвал рукотворным замедление роста ВВП в 2025 году,Средний (аналитический),1,Расследование,Прогресс,Финансовые связи,Плоды,Устроитель,Общее–Частное,
M276,https://www.kommersant.ru/doc/8399693,Путин назвал рукотворным замедление роста ВВП в 2025 году,Средний (аналитический),2,Колонка эксперта,Развитие,Экономический рост,Шестерёнка,Новатор,Честь–Выгода,
M276,https://www.kommersant.ru/doc/8399693,Путин назвал рукотворным замедление роста ВВП в 2025 году,Средний (аналитический),3,Комментарий эксперта,Справедливость,Социальная солидарность,Осада,Страдалец,Справедливость–Законность,
M276,https://www.kommersant.ru/doc/8399693,Путин назвал рукотворным замедление роста ВВП в 2025 году,Средний (аналитический),4,Расследование,Долг,Инновационный прорыв,Поломка,Творец,Традиция–Новаторство,
M276,https://www.kommersant.ru/doc/8399693,Путин назвал рукотворным замедление роста ВВП в 2025 году,Средний (аналитический),5,Колонка эксперта,Равенство,Управление ресурсами,Запруда,Трудолюбивый,Стабильность–Перемены,
M276,https://www.kommersant.ru/doc/8399693,Путин назвал рукотворным замедление роста ВВП в 2025 году,Средний (аналитический),6,Аналитическая статья,Стабильность,Экономическая динамика,Устье,Жертва,Индивидуальное–Коллективное,
M276,https://www.kommersant.ru/doc/8399693,Путин назвал рукотворным замедление роста ВВП в 2025 году,Средний (аналитический),7,Аналитический обзор,Благополучие,Социальная дифференциация,Прививка,Наблюдатель,Общее–Частное,
M276,https://www.kommersant.ru/doc/8399693,Путин назвал рукотворным замедление роста ВВП в 2025 году,Средний (аналитический),8,Аналитическая статья,Благосостояние,Рыночная конъюнктура,Семя,Новатор,Индивидуальное–Коллективное,
M276,https://www.kommersant.ru/doc/8399693,Путин назвал рукотворным замедление роста ВВП в 2025 году,Средний (аналитический),9,Комментарий эксперта,Труд,Экономическая модернизация,Ржавчина,Наблюдатель,Честь–Выгода,
M277,https://www.kommersant.ru/doc/8293594,Прогноз роста ВВП в 2025 году: анализ стагнации и стабилизации,Средний (аналитический),1,Комментарий эксперта,Образование,Культурный канон,Семя,Новатор,Природа–Культура,
M277,https://www.kommersant.ru/doc/8293594,Прогноз роста ВВП в 2025 году: анализ стагнации и стабилизации,Средний (аналитический),2,Расследование,Ответственность,Экономическая динамика,Волна,Наблюдатель,Честь–Выгода,
M277,https://www.kommersant.ru/doc/8293594,Прогноз роста ВВП в 2025 году: анализ стагнации и стабилизации,Средний (аналитический),3,Аналитическая статья,Красота,Нравственный поиск,Перестройка,Творец,Открытость–Закрытость,
M277,https://www.kommersant.ru/doc/8293594,Прогноз роста ВВП в 2025 году: анализ стагнации и стабилизации,Средний (аналитический),4,Расследование,Труд,Финансовые связи,Прививка,Устроитель,Традиция–Новаторство,
M277,https://www.kommersant.ru/doc/8293594,Прогноз роста ВВП в 2025 году: анализ стагнации и стабилизации,Средний (аналитический),5,Аналитический обзор,Долг,Экономический рост,Цветение,Жертва,Общее–Частное,
M277,https://www.kommersant.ru/doc/8293594,Прогноз роста ВВП в 2025 году: анализ стагнации и стабилизации,Средний (аналитический),6,Расследование,Стабильность,Рыночная конъюнктура,Волна,Трудолюбивый,Индивидуальное–Коллективное,
M277,https://www.kommersant.ru/doc/8293594,Прогноз роста ВВП в 2025 году: анализ стагнации и стабилизации,Средний (аналитический),7,Расследование,Память,Эстетическая трансгрессия,Путь,Проводник,Дух–Материя,
M277,https://www.kommersant.ru/doc/8293594,Прогноз роста ВВП в 2025 году: анализ стагнации и стабилизации,Средний (аналитический),8,Колонка эксперта,Справедливость,Управление ресурсами,Корни,Жертва,Стабильность–Перемены,
M277,https://www.kommersant.ru/doc/8293594,Прогноз роста ВВП в 2025 году: анализ стагнации и стабилизации,Средний (аналитический),9,Расследование,Развитие,Экономическая модернизация,Волна,Творец,Справедливость–Законность,
M278,https://www.kommersant.ru/doc/8315406,"Итоги года, экономика России в 2025-м: рост на грани стагнации",Средний (аналитический),1,Расследование,Память,Культурная трансформация,Корни,Защитник,Справедливость–Законность,
M278,https://www.kommersant.ru/doc/8315406,"Итоги года, экономика России в 2025-м: рост на грани стагнации",Средний (аналитический),2,Интервью-аналитика,Благополучие,Социальная дифференциация,Волна,Жертва,Стабильность–Перемены,
M278,https://www.kommersant.ru/doc/8315406,"Итоги года, экономика России в 2025-м: рост на грани стагнации",Средний (аналитический),3,Расследование,Благосостояние,Финансовые связи,Исток,Трудолюбивый,Традиция–Новаторство,
M278,https://www.kommersant.ru/doc/8315406,"Итоги года, экономика России в 2025-м: рост на грани стагнации",Средний (аналитический),4,Колонка эксперта,Труд,Экономическая динамика,Волна,Наблюдатель,Индивидуальное–Коллективное,
M278,https://www.kommersant.ru/doc/8315406,"Итоги года, экономика России в 2025-м: рост на грани стагнации",Средний (аналитический),5,Расследование,Стабильность,Управление ресурсами,Засуха,Новатор,Честь–Выгода,
M278,https://www.kommersant.ru/doc/8315406,"Итоги года, экономика России в 2025-м: рост на грани стагнации",Средний (аналитический),6,Колонка эксперта,Правда,Миграционная волна,Крепость,Бунтарь,Добро–Зло,
M278,https://www.kommersant.ru/doc/8315406,"Итоги года, экономика России в 2025-м: рост на грани стагнации",Средний (аналитический),7,Комментарий эксперта,Солидарность,Межпоколенческие отношения,Корни,Герой,Свобода–Безопасность,
M278,https://www.kommersant.ru/doc/8315406,"Итоги года, экономика России в 2025-м: рост на грани стагнации",Средний (аналитический),8,Аналитическая статья,Ответственность,Экономический рост,Исток,Устроитель,Общее–Частное,
M278,https://www.kommersant.ru/doc/8315406,"Итоги года, экономика России в 2025-м: рост на грани стагнации",Средний (аналитический),9,Колонка эксперта,Прогресс,Рыночная конъюнктура,Запруда,Творец,Традиция–Новаторство,
M279,https://www.kommersant.ru/doc/8420917,Декабрь год бережет – Коммерсантъ - Kommersant,Средний (аналитический),1,Колонка эксперта,Благосостояние,Экономическая динамика,Настройка,Жертва,Честь–Выгода,
M279,https://www.kommersant.ru/doc/8420917,Декабрь год бережет – Коммерсантъ - Kommersant,Средний (аналитический),2,Колонка эксперта,Труд,Экономическая модернизация,Поломка,Устроитель,Традиция–Новаторство,
M279,https://www.kommersant.ru/doc/8420917,Декабрь год бережет – Коммерсантъ - Kommersant,Средний (аналитический),3,Интервью-аналитика,Идентичность,Культурная гибридизация,Плоды,Мудрец,Природа–Культура,
M279,https://www.kommersant.ru/doc/8420917,Декабрь год бережет – Коммерсантъ - Kommersant,Средний (аналитический),4,Колонка эксперта,Справедливость,Инновационный прорыв,Рост,Наблюдатель,Стабильность–Перемены,
M279,https://www.kommersant.ru/doc/8420917,Декабрь год бережет – Коммерсантъ - Kommersant,Средний (аналитический),5,Аналитическая статья,Развитие,Социальная дифференциация,Засуха,Новатор,Справедливость–Законность,
M279,https://www.kommersant.ru/doc/8420917,Декабрь год бережет – Коммерсантъ - Kommersant,Средний (аналитический),6,Аналитический обзор,Культура,Идентичностный кризис,Центр,Проводник,Открытость–Закрытость,
M279,https://www.kommersant.ru/doc/8420917,Декабрь год бережет – Коммерсантъ - Kommersant,Средний (аналитический),7,Аналитическая статья,Стабильность,Экономический рост,Поток,Трудолюбивый,Индивидуальное–Коллективное,
M280,https://www.kommersant.ru/doc/8339146,Замедление экономики России: ВВП приближается к стагнации в,Средний (аналитический),1,Аналитический обзор,Смысл,Потеря смыслов,Цветение,Страдалец,Дух–Материя,
M280,https://www.kommersant.ru/doc/8339146,Замедление экономики России: ВВП приближается к стагнации в,Средний (аналитический),2,Аналитическая статья,Прогресс,Рыночная конъюнктура,Рост,Устроитель,Стабильность–Перемены,
M280,https://www.kommersant.ru/doc/8339146,Замедление экономики России: ВВП приближается к стагнации в,Средний (аналитический),3,Аналитический обзор,Долг,Социальная дифференциация,Наводнение,Жертва,Общее–Частное,
M280,https://www.kommersant.ru/doc/8339146,Замедление экономики России: ВВП приближается к стагнации в,Средний (аналитический),4,Аналитическая статья,Развитие,Финансовые связи,Поток,Трудолюбивый,Индивидуальное–Коллективное,
M280,https://www.kommersant.ru/doc/8339146,Замедление экономики России: ВВП приближается к стагнации в,Средний (аналитический),5,Колонка эксперта,Труд,Экономическая динамика,Рост,Наблюдатель,Честь–Выгода,
M280,https://www.kommersant.ru/doc/8339146,Замедление экономики России: ВВП приближается к стагнации в,Средний (аналитический),6,Аналитический обзор,Мужество,Жизненный путь,Цветение,Мудрец,Истина–Ложь,
M280,https://www.kommersant.ru/doc/8339146,Замедление экономики России: ВВП приближается к стагнации в,Средний (аналитический),7,Расследование,Стабильность,Управление ресурсами,Поломка,Новатор,Традиция–Новаторство,
M281,https://www.kommersant.ru/theme/2764,Культура. Интервью: последние новости - Коммерсантъ,Средний (аналитический),1,Расследование,Традиция,Идентичностный кризис,Плоды,Проводник,Традиция–Новаторство,
M281,https://www.kommersant.ru/theme/2764,Культура. Интервью: последние новости - Коммерсантъ,Средний (аналитический),2,Колонка эксперта,Вера,Нравственный поиск,Засуха,Новатор,Истина–Ложь,
M281,https://www.kommersant.ru/theme/2764,Культура. Интервью: последние новости - Коммерсантъ,Средний (аналитический),3,Аналитический обзор,Красота,Культурный канон,Реконструкция,Хранитель,Дух–Материя,
M281,https://www.kommersant.ru/theme/2764,Культура. Интервью: последние новости - Коммерсантъ,Средний (аналитический),4,Аналитический обзор,Образование,Культурная гибридизация,Плоды,Творец,Прошлое–Будущее,
M281,https://www.kommersant.ru/theme/2764,Культура. Интервью: последние новости - Коммерсантъ,Средний (аналитический),5,Аналитическая статья,Долг,Социальная мобильность,Корни,Страдалец,Общее–Частное,
M281,https://www.kommersant.ru/theme/2764,Культура. Интервью: последние новости - Коммерсантъ,Средний (аналитический),6,Колонка эксперта,Идентичность,Эстетическая трансгрессия,Крепость,Наблюдатель,Открытость–Закрытость,
M281,https://www.kommersant.ru/theme/2764,Культура. Интервью: последние новости - Коммерсантъ,Средний (аналитический),7,Комментарий эксперта,Родина,Культурная память,Центр,Мудрец,Природа–Культура,
M281,https://www.kommersant.ru/theme/2764,Культура. Интервью: последние новости - Коммерсантъ,Средний (аналитический),8,Аналитический обзор,Истина,Традиция и новаторство,Засуха,Хранитель,Прошлое–Будущее,
M282,https://www.kommersant.ru/theme/2316,КУЛЬТУРА: последние новости - Коммерсантъ - Kommersant,Средний (аналитический),1,Расследование,Равенство,Государственный контроль,Трагедия,Лидер,Свой–Чужой,
M282,https://www.kommersant.ru/theme/2316,КУЛЬТУРА: последние новости - Коммерсантъ - Kommersant,Средний (аналитический),2,Аналитический обзор,Долг,Политическая трансформация,Капитуляция,Манипулятор,Единство–Разделение,
M282,https://www.kommersant.ru/theme/2316,КУЛЬТУРА: последние новости - Коммерсантъ - Kommersant,Средний (аналитический),3,Колонка эксперта,Справедливость,Институциональная трансформация,Строительство,Страж,Порядок–Хаос,
M282,https://www.kommersant.ru/theme/2316,КУЛЬТУРА: последние новости - Коммерсантъ - Kommersant,Средний (аналитический),4,Колонка эксперта,Сила,Переговорный процесс,Перестройка,Враг,Равенство–Иерархия,
M282,https://www.kommersant.ru/theme/2316,КУЛЬТУРА: последние новости - Коммерсантъ - Kommersant,Средний (аналитический),5,Комментарий эксперта,Свобода,Внешняя угроза,Мобилизация,Защитник,Сила–Слабость,
M282,https://www.kommersant.ru/theme/2316,КУЛЬТУРА: последние новости - Коммерсантъ - Kommersant,Средний (аналитический),6,Интервью-аналитика,Ответственность,Политическая трансформация,Реконструкция,Оппонент,Свобода–Безопасность,
M282,https://www.kommersant.ru/theme/2316,КУЛЬТУРА: последние новости - Коммерсантъ - Kommersant,Средний (аналитический),7,Расследование,Суверенитет,Конфликт интересов,Крепость,Защитник,Равенство–Иерархия,
M282,https://www.kommersant.ru/theme/2316,КУЛЬТУРА: последние новости - Коммерсантъ - Kommersant,Средний (аналитический),8,Интервью-аналитика,Власть,Суверенитет,Маска,Страж,Свой–Чужой,
M283,https://www.kommersant.ru/theme/2810,Общество. Интервью: последние новости - Коммерсантъ,Средний (аналитический),1,Расследование,Справедливость,Социальная поляризация,Плоды,Свидетель,Свобода–Безопасность,
M283,https://www.kommersant.ru/theme/2810,Общество. Интервью: последние новости - Коммерсантъ,Средний (аналитический),2,Комментарий эксперта,Судьба,Человеческое достоинство,Наводнение,Герой,Истина–Ложь,
M283,https://www.kommersant.ru/theme/2810,Общество. Интервью: последние новости - Коммерсантъ,Средний (аналитический),3,Комментарий эксперта,Солидарность,Социальная солидарность,Капитуляция,Страдалец,Общее–Частное,
M283,https://www.kommersant.ru/theme/2810,Общество. Интервью: последние новости - Коммерсантъ,Средний (аналитический),4,Аналитический обзор,Семья,Миграционная волна,Семя,Жертва,Справедливость–Законность,
M283,https://www.kommersant.ru/theme/2810,Общество. Интервью: последние новости - Коммерсантъ,Средний (аналитический),5,Колонка эксперта,Долг,Межпоколенческие отношения,Обвал,Защитник,Добро–Зло,
M283,https://www.kommersant.ru/theme/2810,Общество. Интервью: последние новости - Коммерсантъ,Средний (аналитический),6,Комментарий эксперта,Смысл,Обретение идентичности,Исток,Творец,Жизнь–Смерть,
M283,https://www.kommersant.ru/theme/2810,Общество. Интервью: последние новости - Коммерсантъ,Средний (аналитический),7,Интервью-аналитика,Честь,Культурная трансформация,Разрушение,Бунтарь,Свой–Чужой,
M283,https://www.kommersant.ru/theme/2810,Общество. Интервью: последние новости - Коммерсантъ,Средний (аналитический),8,Интервью-аналитика,Ответственность,Демографическая динамика,Цветение,Бунтарь,Равенство–Иерархия,
M283,https://www.kommersant.ru/theme/2810,Общество. Интервью: последние новости - Коммерсантъ,Средний (аналитический),9,Аналитическая статья,Безопасность,Социальная мобильность,Крепость,Бунтарь,Общее–Частное,
M284,https://www.kommersant.ru/theme/171,Культурная политика: последние новости - Коммерсантъ,Средний (аналитический),1,Интервью-аналитика,Суверенитет,Внешняя угроза,Разрушение,Манипулятор,Равенство–Иерархия,
M284,https://www.kommersant.ru/theme/171,Культурная политика: последние новости - Коммерсантъ,Средний (аналитический),2,Интервью-аналитика,Свобода,Государственный контроль,Оборона,Страж,Единство–Разделение,
M284,https://www.kommersant.ru/theme/171,Культурная политика: последние новости - Коммерсантъ,Средний (аналитический),3,Интервью-аналитика,Закон,Суверенитет,Архитектура,Оппонент,Свобода–Безопасность,
M284,https://www.kommersant.ru/theme/171,Культурная политика: последние новости - Коммерсантъ,Средний (аналитический),4,Аналитическая статья,Равенство,Институциональная трансформация,Обвал,Лидер,Сила–Слабость,
M284,https://www.kommersant.ru/theme/171,Культурная политика: последние новости - Коммерсантъ,Средний (аналитический),5,Расследование,Власть,Борьба за власть,Архитектура,Защитник,Свой–Чужой,
M284,https://www.kommersant.ru/theme/171,Культурная политика: последние новости - Коммерсантъ,Средний (аналитический),6,Колонка эксперта,Справедливость,Политическая трансформация,Маска,Враг,Порядок–Хаос,
M284,https://www.kommersant.ru/theme/171,Культурная политика: последние новости - Коммерсантъ,Средний (аналитический),7,Колонка эксперта,Труд,Экономическая модернизация,Прививка,Наблюдатель,Индивидуальное–Коллективное,
M285,https://www.kommersant.ru/rubric/8,Последние новости культуры на сегодня - Коммерсантъ,Средний (аналитический),1,Аналитический обзор,Стабильность,Финансовые связи,Ремонт,Трудолюбивый,Стабильность–Перемены,
M285,https://www.kommersant.ru/rubric/8,Последние новости культуры на сегодня - Коммерсантъ,Средний (аналитический),2,Расследование,Долг,Управление ресурсами,Механизм,Жертва,Индивидуальное–Коллективное,
M285,https://www.kommersant.ru/rubric/8,Последние новости культуры на сегодня - Коммерсантъ,Средний (аналитический),3,Интервью-аналитика,Благополучие,Рыночная конъюнктура,Волна,Устроитель,Традиция–Новаторство,
M285,https://www.kommersant.ru/rubric/8,Последние новости культуры на сегодня - Коммерсантъ,Средний (аналитический),4,Аналитический обзор,Прогресс,Инновационный прорыв,Шестерёнка,Наблюдатель,Справедливость–Законность,
M285,https://www.kommersant.ru/rubric/8,Последние новости культуры на сегодня - Коммерсантъ,Средний (аналитический),5,Расследование,Судьба,Человеческое достоинство,Центр,Проводник,Истина–Ложь,
M285,https://www.kommersant.ru/rubric/8,Последние новости культуры на сегодня - Коммерсантъ,Средний (аналитический),6,Комментарий эксперта,Справедливость,Экономическая динамика,Корни,Творец,Общее–Частное,
M285,https://www.kommersant.ru/rubric/8,Последние новости культуры на сегодня - Коммерсантъ,Средний (аналитический),7,Интервью-аналитика,Смысл,Экзистенциальный кризис,Устье,Герой,Вера–Знание,
M285,https://www.kommersant.ru/rubric/8,Последние новости культуры на сегодня - Коммерсантъ,Средний (аналитический),8,Расследование,Благосостояние,Экономический рост,Наводнение,Новатор,Честь–Выгода,
M286,https://www.kommersant.ru/theme/1859,Культура. Назначения: последние новости - Коммерсантъ,Средний (аналитический),1,Аналитический обзор,Правда,Миграционная волна,Реконструкция,Страдалец,Свобода–Безопасность,
M286,https://www.kommersant.ru/theme/1859,Культура. Назначения: последние новости - Коммерсантъ,Средний (аналитический),2,Интервью-аналитика,Солидарность,Межпоколенческие отношения,Перестройка,Герой,Справедливость–Законность,
M286,https://www.kommersant.ru/theme/1859,Культура. Назначения: последние новости - Коммерсантъ,Средний (аналитический),3,Интервью-аналитика,Достоинство,Обретение идентичности,Поток,Мудрец,Истина–Ложь,
M286,https://www.kommersant.ru/theme/1859,Культура. Назначения: последние новости - Коммерсантъ,Средний (аналитический),4,Интервью-аналитика,Ответственность,Социальная мобильность,Капитуляция,Свидетель,Свой–Чужой,
M286,https://www.kommersant.ru/theme/1859,Культура. Назначения: последние новости - Коммерсантъ,Средний (аналитический),5,Колонка эксперта,Безопасность,Социальная солидарность,Реконструкция,Бунтарь,Равенство–Иерархия,
M286,https://www.kommersant.ru/theme/1859,Культура. Назначения: последние новости - Коммерсантъ,Средний (аналитический),6,Комментарий эксперта,Память,Культурная трансформация,Разрушение,Защитник,Добро–Зло,
M286,https://www.kommersant.ru/theme/1859,Культура. Назначения: последние новости - Коммерсантъ,Средний (аналитический),7,Аналитическая статья,Справедливость,Демографическая динамика,Корни,Жертва,Общее–Частное,
M287,https://www.kommersant.ru/rubric/37,Интервью - Kommersant,Средний (аналитический),1,Аналитическая статья,Справедливость,Демографическая динамика,Рост,Свидетель,Свобода–Безопасность,
M287,https://www.kommersant.ru/rubric/37,Интервью - Kommersant,Средний (аналитический),2,Комментарий эксперта,Вера,Нравственный поиск,Корни,Творец,Прошлое–Будущее,
M287,https://www.kommersant.ru/rubric/37,Интервью - Kommersant,Средний (аналитический),3,Расследование,Безопасность,Социальная поляризация,Разрушение,Защитник,Справедливость–Законность,
M287,https://www.kommersant.ru/rubric/37,Интервью - Kommersant,Средний (аналитический),4,Аналитическая статья,Память,Социальная мобильность,Мобилизация,Страдалец,Добро–Зло,
M287,https://www.kommersant.ru/rubric/37,Интервью - Kommersant,Средний (аналитический),5,Аналитический обзор,Честь,Межпоколенческие отношения,Осада,Жертва,Свой–Чужой,
M287,https://www.kommersant.ru/rubric/37,Интервью - Kommersant,Средний (аналитический),6,Аналитический обзор,Семья,Миграционная волна,Прививка,Герой,Равенство–Иерархия,
M287,https://www.kommersant.ru/rubric/37,Интервью - Kommersant,Средний (аналитический),7,Интервью-аналитика,Долг,Культурная трансформация,Перестройка,Бунтарь,Общее–Частное,
M288,https://www.kommersant.ru/theme/1269,Интервью: последние новости - Коммерсантъ - Kommersant,Средний (аналитический),1,Аналитическая статья,Традиция,Эстетическая трансгрессия,Архитектура,Мудрец,Традиция–Новаторство,
M288,https://www.kommersant.ru/theme/1269,Интервью: последние новости - Коммерсантъ - Kommersant,Средний (аналитический),2,Комментарий эксперта,Справедливость,Социальная поляризация,Перестройка,Защитник,Добро–Зло,
M288,https://www.kommersant.ru/theme/1269,Интервью: последние новости - Коммерсантъ - Kommersant,Средний (аналитический),3,Интервью-аналитика,Культура,Нравственный поиск,Крепость,Наблюдатель,Прошлое–Будущее,
M288,https://www.kommersant.ru/theme/1269,Интервью: последние новости - Коммерсантъ - Kommersant,Средний (аналитический),4,Расследование,Красота,Культурная гибридизация,Рост,Новатор,Открытость–Закрытость,
M288,https://www.kommersant.ru/theme/1269,Интервью: последние новости - Коммерсантъ - Kommersant,Средний (аналитический),5,Колонка эксперта,Истина,Идентичностный кризис,Архитектура,Хранитель,Дух–Материя,
M288,https://www.kommersant.ru/theme/1269,Интервью: последние новости - Коммерсантъ - Kommersant,Средний (аналитический),6,Расследование,Память,Традиция и новаторство,Обвал,Творец,Истина–Ложь,
M288,https://www.kommersant.ru/theme/1269,Интервью: последние новости - Коммерсантъ - Kommersant,Средний (аналитический),7,Аналитический обзор,Образование,Культурная память,Фундамент,Проводник,Природа–Культура,
M288,https://www.kommersant.ru/theme/1269,Интервью: последние новости - Коммерсантъ - Kommersant,Средний (аналитический),8,Интервью-аналитика,Душа,Культурный канон,Низ,Новатор,Истина–Ложь,
M289,https://www.vedomosti.ru/business/news/2026/02/24/1178528-lenta-o-konsolidatsii,«Лента» объявила о консолидации технологических  - Ведомости,Средний (аналитический),1,Аналитическая статья,Ответственность,Экономический рост,Семя,Творец,Стабильность–Перемены,
M289,https://www.vedomosti.ru/business/news/2026/02/24/1178528-lenta-o-konsolidatsii,«Лента» объявила о консолидации технологических  - Ведомости,Средний (аналитический),2,Интервью-аналитика,Долг,Экономическая модернизация,Рост,Новатор,Традиция–Новаторство,
M289,https://www.vedomosti.ru/business/news/2026/02/24/1178528-lenta-o-konsolidatsii,«Лента» объявила о консолидации технологических  - Ведомости,Средний (аналитический),3,Расследование,Труд,Инновационный прорыв,Поломка,Трудолюбивый,Общее–Частное,
M289,https://www.vedomosti.ru/business/news/2026/02/24/1178528-lenta-o-konsolidatsii,«Лента» объявила о консолидации технологических  - Ведомости,Средний (аналитический),4,Комментарий эксперта,Благополучие,Экономическая динамика,Течение,Устроитель,Индивидуальное–Коллективное,
M289,https://www.vedomosti.ru/business/news/2026/02/24/1178528-lenta-o-konsolidatsii,«Лента» объявила о консолидации технологических  - Ведомости,Средний (аналитический),5,Колонка эксперта,Развитие,Финансовые связи,Течение,Жертва,Справедливость–Законность,
M289,https://www.vedomosti.ru/business/news/2026/02/24/1178528-lenta-o-konsolidatsii,«Лента» объявила о консолидации технологических  - Ведомости,Средний (аналитический),6,Аналитический обзор,Прогресс,Управление ресурсами,Течение,Наблюдатель,Честь–Выгода,
M289,https://www.vedomosti.ru/business/news/2026/02/24/1178528-lenta-o-konsolidatsii,«Лента» объявила о консолидации технологических  - Ведомости,Средний (аналитический),7,Колонка эксперта,Благосостояние,Рыночная конъюнктура,Системное изменение,Жертва,Индивидуальное–Коллективное,
M289,https://www.vedomosti.ru/business/news/2026/02/24/1178528-lenta-o-konsolidatsii,«Лента» объявила о консолидации технологических  - Ведомости,Средний (аналитический),8,Аналитический обзор,Стабильность,Социальная дифференциация,Засуха,Творец,Стабильность–Перемены,
M289,https://www.vedomosti.ru/business/news/2026/02/24/1178528-lenta-o-konsolidatsii,«Лента» объявила о консолидации технологических  - Ведомости,Средний (аналитический),9,Аналитическая статья,Равенство,Инновационный прорыв,Системное изменение,Новатор,Индивидуальное–Коллективное,
M290,https://trends.rbc.ru/trends/futurology/cmrm/69a19f7a9a79477e4d92f947,"Технологии будущего: как будут развиваться, перспективы, тренды",Средний (аналитический),1,Колонка эксперта,Культура,Традиция и новаторство,Семя,Хранитель,Традиция–Новаторство,
M290,https://trends.rbc.ru/trends/futurology/cmrm/69a19f7a9a79477e4d92f947,"Технологии будущего: как будут развиваться, перспективы, тренды",Средний (аналитический),2,Аналитическая статья,Труд,Экономическая динамика,Шестерёнка,Трудолюбивый,Индивидуальное–Коллективное,
M290,https://trends.rbc.ru/trends/futurology/cmrm/69a19f7a9a79477e4d92f947,"Технологии будущего: как будут развиваться, перспективы, тренды",Средний (аналитический),3,Интервью-аналитика,Долг,Социальная дифференциация,Поломка,Новатор,Честь–Выгода,
M290,https://trends.rbc.ru/trends/futurology/cmrm/69a19f7a9a79477e4d92f947,"Технологии будущего: как будут развиваться, перспективы, тренды",Средний (аналитический),4,Интервью-аналитика,Душа,Идентичностный кризис,Фундамент,Проводник,Прошлое–Будущее,
M290,https://trends.rbc.ru/trends/futurology/cmrm/69a19f7a9a79477e4d92f947,"Технологии будущего: как будут развиваться, перспективы, тренды",Средний (аналитический),5,Аналитическая статья,Образование,Эстетическая трансгрессия,Верх,Наблюдатель,Природа–Культура,
M290,https://trends.rbc.ru/trends/futurology/cmrm/69a19f7a9a79477e4d92f947,"Технологии будущего: как будут развиваться, перспективы, тренды",Средний (аналитический),6,Колонка эксперта,Традиция,Нравственный поиск,Реконструкция,Мудрец,Открытость–Закрытость,
M290,https://trends.rbc.ru/trends/futurology/cmrm/69a19f7a9a79477e4d92f947,"Технологии будущего: как будут развиваться, перспективы, тренды",Средний (аналитический),7,Аналитический обзор,Память,Культурная память,Плоды,Творец,Истина–Ложь,
M290,https://trends.rbc.ru/trends/futurology/cmrm/69a19f7a9a79477e4d92f947,"Технологии будущего: как будут развиваться, перспективы, тренды",Средний (аналитический),8,Расследование,Красота,Культурный канон,Обвал,Проводник,Дух–Материя,
M291,https://rg.ru/tema/obshestvo/nauka,Наука и технологии – последние новости и события России и,Средний (аналитический),1,Интервью-аналитика,Власть,Борьба за власть,Фундамент,Страж,Порядок–Хаос,
M291,https://rg.ru/tema/obshestvo/nauka,Наука и технологии – последние новости и события России и,Средний (аналитический),2,Аналитическая статья,Долг,Политическая трансформация,Наступление,Манипулятор,Единство–Разделение,
M291,https://rg.ru/tema/obshestvo/nauka,Наука и технологии – последние новости и события России и,Средний (аналитический),3,Интервью-аналитика,Сила,Суверенитет,Обвал,Враг,Свой–Чужой,
M291,https://rg.ru/tema/obshestvo/nauka,Наука и технологии – последние новости и события России и,Средний (аналитический),4,Аналитическая статья,Порядок,Политическая трансформация,Кулисы,Защитник,Свобода–Безопасность,
